FILE,UNIT_NAME,ROOM_NAME,NAME,SECTION_NAME,PHASE,PHOTO_URL,STATUS,DESCRIPTION,HIGHLIGHT_LEFT,HIGHLIGHT_WIDTH,HIGHLIGHT_TOP,HIGHLIGHT_HEIGHT
1,Basement-Civil,Cracks/Damages,Damages/Cracks,Damages/Cracks,snagging,https://firebasestorage.googleapis.com/v0/b/nemmadi-console.appspot.com/o/1537335607730%2Fbig?alt=media&token=0308d03a-95e0-4b2f-bfa1-ef58eec2da65,,Crack observed in corner of wall. Wall - 1.,0.273353767,0.563539791,0.117452278,0.882547722
2,Basement-Civil,Cracks/Damages,Damages/Cracks,Damages/Cracks,snagging,https://firebasestorage.googleapis.com/v0/b/nemmadi-console.appspot.com/o/1537335633126%2Fbig?alt=media&token=bc7203c7-0514-4ffe-8858-3c524f566f31,,Cracks on wall. North east corner. ,0.183936024,0.731977844,0.232087057,0.635949432
3,Basement-Civil,Cracks/Damages,Damages/Cracks,Damages/Cracks,snagging,https://firebasestorage.googleapis.com/v0/b/nemmadi-console.appspot.com/o/1537335629084%2Fbig?alt=media&token=6e88365b-cba4-4962-ab4a-8be816935a9a,,Cracks observed on North-east wall. ,0.111154115,0.888845885,0.185687206,0.483103393
4,Basement-Civil,Cracks/Damages,Damages/Cracks,Damages/Cracks,snagging,https://firebasestorage.googleapis.com/v0/b/nemmadi-console.appspot.com/o/1537335612095%2Fbig?alt=media&token=a59b7437-256d-49dd-9d52-7724a9c29905,,Crack observed on flooring. Quadrant - 3.,0.289989614,0.582493925,0.188416528,0.571652147
5,Basement-Civil,Cracks/Damages,Damages/Cracks,Damages/Cracks,snagging,https://firebasestorage.googleapis.com/v0/b/nemmadi-console.appspot.com/o/1537335616467%2Fbig?alt=media&token=c0847271-6f01-4501-8683-170923e4b576,,Column edge damaged. Column - 4.,0.410599613,0.393022251,0.308510077,0.605926138
6,Basement-Civil,Cracks/Damages,Damages/Cracks,Damages/Cracks,snagging,https://firebasestorage.googleapis.com/v0/b/nemmadi-console.appspot.com/o/1537335620703%2Fbig?alt=media&token=5cc9496e-9519-48b9-80c0-c7a371298418,,Crack observed on security room wall. ,0.445950794,0.299445534,0.068323104,0.931676896
7,Basement-Civil,Cracks/Damages,Damages/Cracks,Damages/Cracks,snagging,https://firebasestorage.googleapis.com/v0/b/nemmadi-console.appspot.com/o/1537335625804%2Fbig?alt=media&token=691b4732-e535-43fb-9044-68092b459fd2,,Cracks observed on walls at South east corner and openings left in the walls to be filled. ,0.354453564,0.538585949,0.079240768,0.747854889
8,Ground Floor-Civil,Cracks/Damages,Damages/Cracks,Damages/Cracks,snagging,https://firebasestorage.googleapis.com/v0/b/nemmadi-console.appspot.com/o/1537335424069%2Fbig?alt=media&token=296fca6a-c463-4820-9bc9-6ff5666ade06,,Column edges damaged. Column - 3.,0.479222536,0.145563793,0.057405566,0.942594434
9,Ground Floor-Civil,Cracks/Damages,Damages/Cracks,Damages/Cracks,snagging,https://firebasestorage.googleapis.com/v0/b/nemmadi-console.appspot.com/o/1537335438085%2Fbig?alt=media&token=366bf193-4f0e-4cc4-b5f8-1a61fc007688,,Ramp edges damaged. ,0.217207718,0.576278019,0.199334191,0.70418461
10,Ground Floor-Civil,Cracks/Damages,Damages/Cracks,Damages/Cracks,snagging,https://firebasestorage.googleapis.com/v0/b/nemmadi-console.appspot.com/o/1537335445959%2Fbig?alt=media&token=957248df-aca5-43eb-acd7-8314da77e921,,Cracks observed in wall of North east side. ,0.454268742,0.282809639,0.152934465,0.554067643
11,Ground Floor-Civil,Cracks/Damages,Damages/Cracks,Damages/Cracks,snagging,https://firebasestorage.googleapis.com/v0/b/nemmadi-console.appspot.com/o/1537335433475%2Fbig?alt=media&token=de11b40f-d466-477d-a4ca-b22a9ae5a012,,Cracks observed in wall north side and louvres to be painted. ,0.25671792,0.476201487,0.374015683,0.625984317
12,Ground Floor-Civil,Cracks/Damages,Damages/Cracks,Damages/Cracks,snagging,https://firebasestorage.googleapis.com/v0/b/nemmadi-console.appspot.com/o/1537335441893%2Fbig?alt=media&token=5004c510-b11f-46b9-9c2c-4470d3252a41,,Crack on wall at north-west corner. ,0.304545975,0.512102509,0.218440071,0.781559929
13,Ground Floor-Civil,Cracks/Damages,Damages/Cracks,Damages/Cracks,snagging,https://firebasestorage.googleapis.com/v0/b/nemmadi-console.appspot.com/o/1537335428558%2Fbig?alt=media&token=8211fdcb-0efd-40bf-91e7-55a7b8758e61,,Tread at Second entrance damaged. ,0.200571871,0.372227383,0.603429951,0.396570049
14,Second Floor-Civil,Cracks/Damages,Damages/Cracks,Damages/Cracks,snagging,https://firebasestorage.googleapis.com/v0/b/nemmadi-console.appspot.com/o/1537339296203%2Fbig?alt=media&token=8207b960-0503-4b81-a861-1f479f13e287,,Capital edge damaged. Column - 2.,0.423076534,0.442929745,0.065593782,0.458538618
