FILE,UNIT_NAME,ROOM_NAME,NAME,SECTION_NAME,PHASE,PHOTO_URL,STATUS,DESCRIPTION,HIGHLIGHT_LEFT,HIGHLIGHT_WIDTH,HIGHLIGHT_TOP,HIGHLIGHT_HEIGHT
8028,A-2502,Store,"""Is the flooring laid properly ? (Crack, loose tile)""","""Flooring, Dadoing & Skirting""",snagging,https://firebasestorage.googleapis.com/v0/b/nemmadi-console.appspot.com/o/1496412606936%2Fbig?alt=media&token=c0d58efe-ba6c-4b5b-a849-0b289a596762,not OK,Gap between architrave joints,0.353201872,0.44245034,0.347479324,0.31930996
8043,16144,Kitchen,"""Is the flooring laid properly ? (Crack, loose tile)""","""Flooring, Dadoing & Skirting""",snagging,https://firebasestorage.googleapis.com/v0/b/nemmadi-console.appspot.com/o/1496490470124%2Fbig?alt=media&token=0ac43d42-14b2-497b-9327-e1053a441eed,not OK,Floor and skirting tile chipped off,0.375944102,0.36801863,0.41629331,0.377115801
8045,16144,Utility,"""Is the flooring laid properly ? (Crack, loose tile)""","""Flooring, Dadoing & Skirting""",snagging,https://firebasestorage.googleapis.com/v0/b/nemmadi-console.appspot.com/o/1496490469568%2Fbig?alt=media&token=2add5d10-85c8-4993-a2e3-c0b36428c297,not OK,Dado tile chipp off at many places,0.258096257,0.454854077,0.295177617,0.388128107
8055,16144,Common Toilet,"""Is the flooring laid properly ? (Crack, loose tile)""","""Flooring, Dadoing & Skirting""",snagging,https://firebasestorage.googleapis.com/v0/b/nemmadi-console.appspot.com/o/1496490560549%2Fbig?alt=media&token=0452af58-840f-4c11-bce1-efc813a423b6,not OK,Improper finish,0.320121102,0.462090107,0.179566186,0.476210665
8074,16144,M Bed Rm,"""Is the flooring laid properly ? (Crack, loose tile)""","""Flooring, Dadoing & Skirting""",snagging,https://firebasestorage.googleapis.com/v0/b/nemmadi-console.appspot.com/o/1496490512944%2Fbig?alt=media&token=9b8af4ac-fabe-4fdd-b344-fe764cf2df66,not OK,Improper sealant filling,0.053409932,0.761881953,0.344727319,0.225718979
8081,16144,M Bed Rm Balcony,"""Is the flooring laid properly ? (Crack, loose tile)""","""Flooring, Dadoing & Skirting""",snagging,https://firebasestorage.googleapis.com/v0/b/nemmadi-console.appspot.com/o/1496490494539%2Fbig?alt=media&token=ef6e41b8-7b9b-451d-afab-3144b5a0054c,not OK,Floor tile chipp off/damage,0.328391318,0.440372633,0.333714887,0.379867806
8175,C-701,Foyer,"""Is the flooring laid properly ? (Crack, loose tile)""","""Flooring, Dadoing & Skirting""",snagging,https://firebasestorage.googleapis.com/v0/b/nemmadi-console.appspot.com/o/1496215372978%2Fbig?alt=media&token=4d4c65d1-4523-4de2-bae2-d86c6df7562b,not OK,Frame joints not filled ,0.648080767,0.302375746,0.29437609,0.342706601
8179,C-701,Dining,"""Is the flooring laid properly ? (Crack, loose tile)""","""Flooring, Dadoing & Skirting""",snagging,https://firebasestorage.googleapis.com/v0/b/nemmadi-console.appspot.com/o/1496215400987%2Fbig?alt=media&token=fc68f595-2e63-4eac-a3e8-84a6ff50c735,not OK,Floor tile crack ,0.489916168,0.303925461,0.135409142,0.532640441
8181,C-701,Sitout,"""Is the flooring laid properly ? (Crack, loose tile)""","""Flooring, Dadoing & Skirting""",snagging,https://firebasestorage.googleapis.com/v0/b/nemmadi-console.appspot.com/o/1496215425347%2Fbig?alt=media&token=844bdf20-e612-4da7-a4e4-56c18acedbaa,not OK,Tile chipped off ,0.440295012,0.403167725,0.182892602,0.460384274
8192,C-701,Toilet,"""Is the flooring laid properly ? (Crack, loose tile)""","""Flooring, Dadoing & Skirting""",snagging,https://firebasestorage.googleapis.com/v0/b/nemmadi-console.appspot.com/o/1496215510291%2Fbig?alt=media&token=179c3fae-d75d-49a2-80b5-0e6118b333d9,not OK,Floor tile undulation ,0.551941013,0.291521724,0.286115662,0.545028939
