FILE,UNIT_NAME,ROOM_NAME,NAME,SECTION_NAME,PHASE,PHOTO_URL,STATUS,DESCRIPTION,HIGHLIGHT_LEFT,HIGHLIGHT_WIDTH,HIGHLIGHT_TOP,HIGHLIGHT_HEIGHT
174,A 108,First Floor,Any cracks near switch plate properly filled?,Electrical Fixtures,snagging,https://firebasestorage.googleapis.com/v0/b/nemmadi-console.appspot.com/o/1507617640796%2Fbig?alt=media&token=bfc6c6ed-a8ee-4fe2-99d7-2a36fb046be1,not OK,Test ,0.447443771,0.38507185,0.17887605,0.384545835
180,A 108,First Floor,Any cracks near switch plate properly filled?,Electrical Fixtures,snagging,https://firebasestorage.googleapis.com/v0/b/nemmadi-console.appspot.com/o/1507617632447%2Fbig?alt=media&token=41104a96-e7d9-48eb-a983-ef09578bc477,not OK,Test ,0.415181255,0.317415619,0.183038521,0.459483401
371,5213,Dining Room,Any cracks near switch plate properly filled?,Electrical Fixtures,snagging,https://firebasestorage.googleapis.com/v0/b/nemmadi-console.appspot.com/o/1490255765063%2Fbig?alt=media&token=b66be8a0-d97f-4020-836d-addc5b263915,not OK,Crack on floor,0.229149054,0.638866496,0.220557851,0.173417399
537,4181,Utility,Any cracks near switch plate properly filled?,Electrical Fixtures,snagging,https://firebasestorage.googleapis.com/v0/b/nemmadi-console.appspot.com/o/1490345435843%2Fbig?alt=media&token=0fcccf5e-cd1d-4942-9364-4c9ec5278bcb,not OK,Paint peel off,0.303580764,0.692621124,0.339219022,0.423913246
8816,15044,Study,Any cracks near switch plate properly filled?,Electrical Fixtures,snagging,https://firebasestorage.googleapis.com/v0/b/nemmadi-console.appspot.com/o/1498735995186%2Fbig?alt=media&token=7e61d503-5f3a-4864-87d6-a0033bf01f3a,not OK,Gap between wall and switch plate,0.609574502,0.237763968,0.248086724,0.52025207
8934,10122,Family Sit-out,Any cracks near switch plate properly filled?,Electrical Fixtures,desnagging,https://firebasestorage.googleapis.com/v0/b/nemmadi-console.appspot.com/o/1519898481000%2Fbig?alt=media&token=1e4fbf0f-f5f3-480e-844f-01c62065a6c5,not OK,Rectified,0.411853123,0.261356258,0.251520001,0.495979434
8935,10122,Family Sit-out,Any cracks near switch plate properly filled?,Electrical Fixtures,snagging,https://firebasestorage.googleapis.com/v0/b/nemmadi-console.appspot.com/o/1498881303552%2Fbig?alt=media&token=8084476b-6275-4c49-9a96-31cf5d90f611,not OK,Gap between switch plate and wall,0.466916149,0.382490691,0.34442971,0.333074396
9078,A-525,Living,Any cracks near switch plate properly filled?,Electrical Fixtures,snagging,https://firebasestorage.googleapis.com/v0/b/nemmadi-console.appspot.com/o/1499061913473%2Fbig?alt=media&token=51b68ca9-2b70-4016-85d5-b3fbc455f128,not OK,Incomplete work on electrical,0.212350928,0.612586975,0.235334664,0.578115668
9097,A-525,Dining,Any cracks near switch plate properly filled?,Electrical Fixtures,snagging,https://firebasestorage.googleapis.com/v0/b/nemmadi-console.appspot.com/o/1499080745133%2Fbig?alt=media&token=bbe8909f-f903-470f-a39e-744a8a9be8ed,not OK,Switch not fixed,0.454509332,0.390763988,0.385718984,0.209202538
9118,A-525,Common Toilet,Any cracks near switch plate properly filled?,Electrical Fixtures,snagging,https://firebasestorage.googleapis.com/v0/b/nemmadi-console.appspot.com/o/1499080745589%2Fbig?alt=media&token=3390a7f8-3fd2-4063-abb5-ca94a3a65836,not OK,Wiring not done,0.473117994,0.279114907,0.239826423,0.311053694
